snapshot_id,event_id,district,lat,lon,label,lead_hours,month,day_of_year,humidity_spike_3h,humidity_spike_6h,humidity_max,pressure_drop_3h,pressure_drop_6h,precip_rate_max_mm_hr,precip_total_mm,precip_acceleration,cloud_cover_max_pct,wind_gust_max_ms,humidity_pressure_interaction,elevation_m
E25_L6,E25,Kullu,32.0167,77.3333,1,6,7,186,19.52,11.86,100.0,-0.019999999999996,0.0300000000000011,0.8,-1879853.45,-98918.91,100.0,4.14,0.3558000000000134,1744.0
E25_L9,E25,Kullu,32.0167,77.3333,1,9,7,186,2.890000000000001,8.590000000000003,100.0,0.0499999999999971,0.0599999999999951,0.8,-1583026.12,98875.42,100.0,4.14,0.5153999999999587,1744.0
E26_L0,E26,Chamba,32.5534,76.1258,1,0,8,220,3.0,0.0,100.0,0.0100000000000051,-0.0699999999999931,2.3,-2474281.38,-98953.36,100.0,5.2,-0.0,924.0
E26_L3,E26,Chamba,32.5534,76.1258,1,3,8,219,0.0,0.9000000000000057,100.0,-0.0799999999999983,-0.0900000000000034,2.3,-2177383.0,98987.32,100.0,5.2,-0.0810000000000035,924.0
E26_L6,E26,Chamba,32.5534,76.1258,1,6,8,219,10.099999999999994,8.719999999999999,100.0,-0.0100000000000051,0.0899999999999892,2.3,-1880441.32,-98985.94,100.0,5.2,0.7847999999999057,924.0
E26_L9,E26,Chamba,32.5534,76.1258,1,9,8,219,3.3699999999999903,10.25,100.0,0.0999999999999943,0.1899999999999977,2.3,-1583499.66,98969.48,100.0,5.2,1.9474999999999767,924.0
E27_L0,E27,Shimla,31.45,77.65,1,0,7,213,-0.9899999999999948,-5.989999999999995,100.0,0.0500000000000113,-0.0799999999999983,16.0,-2474291.7800000003,-99009.06999999998,100.0,3.95,0.4791999999999893,1166.0
E27_L3,E27,Shimla,31.45,77.65,1,3,7,212,0.0,1.6400000000000006,100.0,-0.1300000000000096,-0.2000000000000028,16.0,-2177365.63,98906.6,100.0,3.95,-0.3280000000000048,1166.0
E27_L6,E27,Shimla,31.45,77.65,1,6,7,212,15.36,17.769999999999996,100.0,-0.0699999999999931,0.0700000000000073,16.0,-1880595.79,-98933.61,100.0,3.95,1.243900000000131,1166.0
E27_L9,E27,Shimla,31.45,77.65,1,9,7,212,5.3700000000000045,4.8700000000000045,100.0,0.1400000000000005,0.2399999999999948,16.0,-1583766.52,98993.87000000002,100.0,3.95,1.168799999999976,1166.0
E28_L0,E28,Kullu,32.15,77.15,1,0,7,198,11.0,0.0,100.0,0.0400000000000062,-0.0999999999999943,3.3,-2474664.54,-98997.72,100.0,5.12,-0.0,2054.0
E28_L3,E28,Kullu,32.15,77.15,1,3,7,197,0.0,3.6500000000000057,100.0,-0.1400000000000005,-0.2099999999999937,3.3,-2177670.7800000003,98991.64,100.0,5.12,-0.7664999999999784,2054.0
E28_L6,E28,Kullu,32.15,77.15,1,6,7,197,2.3499999999999943,16.049999999999997,97.52,-0.0699999999999931,0.0100000000000051,3.3,-1880684.86,-98996.49,100.0,5.12,0.160500000000082,2054.0
E28_L9,E28,Kullu,32.15,77.15,1,9,7,197,2.319999999999993,5.019999999999996,97.52,0.0799999999999983,0.1899999999999977,0.7,-1583732.15,98983.25999999998,100.0,5.12,0.953799999999988,2054.0
E29_L0,E29,Shimla,31.452,77.633,1,0,8,219,5.079999999999998,-0.9200000000000016,100.0,0.0999999999999943,-0.0,2.5,-2473287.47,-98953.69,100.0,3.7,0.0,941.0
E29_L3,E29,Shimla,31.452,77.633,1,3,8,218,0.0,0.0,100.0,-0.0999999999999943,-0.0900000000000034,2.5,-2176362.04,98982.81999999998,100.0,3.7,-0.0,941.0
E29_L6,E29,Shimla,31.452,77.633,1,6,8,218,12.0,9.180000000000009,100.0,0.0099999999999909,0.1199999999999903,2.5,-1879403.54,-98985.38,100.0,3.7,1.1015999999999122,941.0
E29_L9,E29,Shimla,31.452,77.633,1,9,8,218,2.769999999999996,9.47,100.0,0.1099999999999994,0.1400000000000005,2.0,-1582436.18,98970.55000000002,100.0,3.41,1.3258000000000052,941.0
NEG000_L0,NEG000,Kullu,32.2432,77.1892,0,0,9,251,18.340000000000003,-0.6599999999999966,100.0,0.029999999999994,-0.0200000000000031,0.5,-2474997.7,-99000.0,82.0,4.81,0.0132000000000019,1878.0
NEG000_L3,NEG000,Kullu,32.2432,77.1892,0,3,9,250,0.0,2.430000000000007,100.0,-0.0499999999999971,-0.0799999999999983,0.5,-2177997.7,99000.0,82.0,4.81,-0.1943999999999964,1878.0
NEG000_L6,NEG000,Kullu,32.2432,77.1892,0,6,9,250,18.57,18.779999999999987,100.0,-0.0300000000000011,0.0300000000000011,0.5,-1880997.7,-99000.4,82.0,4.81,0.563400000000021,1878.0
NEG000_L9,NEG000,Kullu,32.2432,77.1892,0,9,9,250,1.840000000000004,4.3700000000000045,100.0,0.0600000000000022,0.0900000000000034,0.5,-1583998.5,99000.4,82.0,4.81,0.3933000000000153,1878.0
NEG001_L0,NEG001,Kinnaur,31.4167,78.2667,0,0,8,230,11.650000000000006,-2.3499999999999943,100.0,-0.0799999999999983,-0.1899999999999977,1.7,-2474688.24,-98933.61,100.0,5.64,0.4464999999999935,2612.0
NEG001_L3,NEG001,Kinnaur,31.4167,78.2667,0,3,8,229,0.0,0.2999999999999971,100.0,-0.1099999999999994,-0.0900000000000034,1.7,-2177827.2300000004,98982.44000000002,100.0,5.64,-0.0270000000000007,2612.0
NEG001_L6,NEG001,Kinnaur,31.4167,78.2667,0,6,8,229,29.700000000000003,15.36,99.7,0.019999999999996,0.1400000000000005,0.7,-1880912.25,-98977.92,100.0,5.64,2.1504000000000087,2612.0
NEG001_L9,NEG001,Kinnaur,31.4167,78.2667,0,9,8,229,1.8800000000000097,8.700000000000003,98.66,0.1200000000000045,0.1599999999999966,0.7,-1583957.61,98995.64,100.0,5.64,1.3919999999999708,2612.0
NEG002_L0,NEG002,Kinnaur,32.5,78.6,0,0,9,262,13.0,4.180000000000007,100.0,0.0300000000000011,-0.0499999999999971,2.2,-2474851.88,-98994.58,100.0,6.85,-0.2089999999999884,4443.0
